3.800000	0.038335	0.004764	-0.040932	-0.005120	0.042723	0.004897	-0.045550	-0.005565	0.039133	0.002986	-0.026217	-0.033275
3.900000	0.034450	0.004285	-0.036778	-0.004620	0.038248	0.004380	-0.041014	-0.004944	0.034285	0.004011	-0.038231	-0.002563
4.000000	0.030958	0.003853	-0.033045	-0.004164	0.034427	0.002857	-0.036745	-0.004622	0.030874	0.002414	-0.034303	-0.004370
4.100000	0.027821	0.003463	-0.029691	-0.003750	0.030945	0.007180	-0.033068	-0.004315	0.027439	0.007752	-0.037054	0.015928
4.200000	0.025002	0.003113	-0.026678	-0.003375	0.027891	0.000443	-0.029628	-0.003719	0.025969	-0.001820	-0.008782	-0.042267
4.300000	0.022470	0.002798	-0.023971	-0.003036	0.025112	0.000543	-0.026718	-0.003296	0.021820	0.001398	-0.039141	0.020660
4.400000	0.020194	0.002514	-0.021539	-0.002730	0.022438	0.006694	-0.024091	-0.003012	0.019483	0.007997	-0.035030	0.029476
4.500000	0.018149	0.002259	-0.019355	-0.002455	0.020379	-0.000351	-0.021594	-0.002669	0.019370	-0.002779	0.001434	-0.046665
4.600000	0.016312	0.002030	-0.017392	-0.002206	0.017975	0.010823	-0.019522	-0.002175	0.015353	0.012814	-0.032946	0.042614
4.700000	0.014660	0.001824	-0.015629	-0.001982	0.016435	0.000307	-0.017326	-0.002112	0.017055	-0.004224	0.029789	-0.089941
4.800000	0.013176	0.001638	-0.014045	-0.001781	0.014654	-0.000652	-0.015712	-0.002098	0.012744	-0.000300	-0.022507	0.009237
4.900000	0.011843	0.001472	-0.012622	-0.001600	0.013276	-0.002220	-0.013854	-0.001892	0.011330	-0.001581	-0.025081	0.014882
5.000000	0.010644	0.001323	-0.011344	-0.001437	0.011944	0.002056	-0.012643	-0.001628	0.009743	0.003804	-0.031411	0.037131
5.100000	0.009567	0.001188	-0.010195	-0.001291	0.010526	0.004540	-0.011396	-0.001219	0.009589	0.004451	-0.007340	-0.000593
5.200000	0.008599	0.001068	-0.009163	-0.001160	0.009579	0.003899	-0.010355	-0.001143	0.009440	0.002480	0.007598	-0.027700
