0.000000	1.000000	0.000000	0.000000	0.000000
0.000000	1.020982	-0.038715	0.420177	-0.786587
0.100000	1.039404	-0.079669	-0.051129	-0.046336
0.200000	1.030791	-0.085184	-0.121056	-0.065774
0.300000	1.009790	-0.083246	-0.298979	0.105086
0.400000	0.975511	-0.071868	-0.386768	0.126197
0.500000	0.932808	-0.057942	-0.467499	0.156873
0.600000	0.883734	-0.042742	-0.514185	0.152135
0.700000	0.830863	-0.028260	-0.543456	0.142256
0.800000	0.775976	-0.015169	-0.554476	0.123885
0.900000	0.720620	-0.003954	-0.552792	0.104090
1.000000	0.665947	0.005288	-0.540804	0.083792
1.100000	0.612838	0.012602	-0.521491	0.064903
1.200000	0.561919	0.018153	-0.496956	0.047953
1.300000	0.513622	0.022152	-0.469051	0.033348
1.400000	0.468211	0.024831	-0.439195	0.021107
1.500000	0.425827	0.026416	-0.408513	0.011129
1.600000	0.386509	0.027121	-0.377854	0.003202
1.700000	0.350224	0.027134	-0.347850	-0.002922
1.800000	0.316884	0.026621	-0.318950	-0.007507
1.900000	0.286363	0.025720	-0.291461	-0.010805
2.000000	0.258510	0.024547	-0.265577	-0.013050
2.100000	0.233160	0.023194	-0.241401	-0.014452
2.200000	0.210140	0.021736	-0.218974	-0.015191
2.300000	0.189276	0.020230	-0.198284	-0.015419
2.400000	0.170397	0.018720	-0.179285	-0.015264
2.500000	0.153336	0.017240	-0.161907	-0.014831
2.600000	0.137936	0.015812	-0.146063	-0.014202
2.700000	0.124050	0.014452	-0.131657	-0.013444
2.800000	0.111536	0.013170	-0.118588	-0.012610
2.900000	0.100268	0.011972	-0.106755	-0.011739
3.000000	0.090127	0.010861	-0.096058	-0.010860
3.100000	0.081003	0.009835	-0.086400	-0.009995
3.200000	0.072798	0.008893	-0.077690	-0.009159
3.300000	0.065421	0.008031	-0.069842	-0.008364
3.400000	0.058790	0.007245	-0.062776	-0.007614
3.500000	0.052829	0.006530	-0.056417	-0.006914
3.600000	0.047473	0.005882	-0.050697	-0.006266
3.700000	0.042660	0.005295	-0.045555	-0.005668
3.800000	0.038335	0.004764	-0.040932	-0.005120
3.900000	0.034450	0.004285	-0.036778	-0.004620
4.000000	0.030958	0.003853	-0.033045	-0.004164
4.100000	0.027821	0.003463	-0.029691	-0.003750
4.200000	0.025002	0.003113	-0.026678	-0.003375
4.300000	0.022470	0.002798	-0.023971	-0.003036
4.400000	0.020194	0.002514	-0.021539	-0.002730
4.500000	0.018149	0.002259	-0.019355	-0.002455
4.600000	0.016312	0.002030	-0.017392	-0.002206
4.700000	0.014660	0.001824	-0.015629	-0.001982
4.800000	0.013176	0.001638	-0.014045	-0.001781
4.900000	0.011843	0.001472	-0.012622	-0.001600
5.000000	0.010644	0.001323	-0.011344	-0.001437
5.100000	0.009567	0.001188	-0.010195	-0.001291
5.200000	0.008599	0.001068	-0.009163	-0.001160
5.300000	0.007730	0.000960	-0.008235	-0.001042
5.400000	0.006948	0.000862	-0.007401	-0.000936
5.500000	0.006245	0.000775	-0.006652	-0.000841
5.600000	0.005613	0.000696	-0.005979	-0.000756
5.700000	0.005046	0.000626	-0.005374	-0.000679
5.800000	0.004535	0.000562	-0.004831	-0.000610
5.900000	0.004077	0.000505	-0.004342	-0.000548
6.000000	0.003664	0.000454	-0.003903	-0.000492
6.100000	0.003294	0.000408	-0.003508	-0.000442
6.200000	0.002961	0.000367	-0.003153	-0.000398
6.300000	0.002661	0.000330	-0.002834	-0.000357
6.400000	0.002392	0.000296	-0.002548	-0.000321
6.500000	0.002150	0.000266	-0.002290	-0.000289
6.600000	0.001933	0.000239	-0.002058	-0.000259
6.700000	0.001737	0.000215	-0.001850	-0.000233
6.800000	0.001562	0.000193	-0.001663	-0.000210
6.900000	0.001404	0.000174	-0.001495	-0.000188
7.000000	0.001262	0.000156	-0.001344	-0.000169
7.100000	0.001134	0.000141	-0.001208	-0.000152
7.200000	0.001020	0.000126	-0.001086	-0.000137
7.300000	0.000916	0.000114	-0.000976	-0.000123
7.400000	0.000824	0.000102	-0.000877	-0.000110
7.500000	0.000740	0.000092	-0.000789	-0.000099
7.600000	0.000666	0.000082	-0.000709	-0.000089
7.700000	0.000598	0.000074	-0.000637	-0.000080
7.800000	0.000538	0.000067	-0.000573	-0.000072
7.900000	0.000483	0.000060	-0.000515	-0.000065
8.000000	0.000435	0.000054	-0.000463	-0.000058
8.100000	0.000391	0.000048	-0.000416	-0.000052
8.200000	0.000351	0.000043	-0.000374	-0.000047
8.300000	0.000316	0.000039	-0.000336	-0.000042
8.400000	0.000284	0.000035	-0.000302	-0.000038
8.500000	0.000255	0.000032	-0.000272	-0.000034
8.600000	0.000229	0.000028	-0.000244	-0.000031
8.700000	0.000206	0.000026	-0.000219	-0.000028
8.800000	0.000185	0.000023	-0.000197	-0.000025
8.900000	0.000166	0.000021	-0.000177	-0.000022
9.000000	0.000150	0.000019	-0.000159	-0.000020
9.100000	0.000135	0.000017	-0.000143	-0.000018
9.200000	0.000121	0.000015	-0.000129	-0.000016
9.300000	0.000109	0.000013	-0.000116	-0.000015
9.400000	0.000098	0.000012	-0.000104	-0.000013
9.500000	0.000088	0.000011	-0.000094	-0.000012
9.600000	0.000079	0.000010	-0.000084	-0.000011
9.700000	0.000071	0.000009	-0.000076	-0.000010
9.800000	0.000064	0.000008	-0.000068	-0.000009
9.900000	0.000057	0.000007	-0.000061	-0.000008
10.000000	0.000052	0.000006	-0.000055	-0.000007
10.100000	0.000046	0.000006	-0.000049	-0.000006
